# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1782714482261000000,1782714512365000000,0
cacheStateStorage.set.duration,1782714482261000000,1782714512365000000,0
cacheStateStorage.get.counter,1782714482261000000,1782714512365000000,10
cacheStateStorage.get.duration,1782714482261000000,1782714512365000000,0
writeAction.median.wait.ms,1782714482261000000,1782714512365000000,0
writeAction.max.wait.ms,1782714482261000000,1782714512365000000,0
writeAction.count,1782714482261000000,1782714512365000000,1
writeAction.wait.ms,1782714482261000000,1782714512365000000,0
VFS.fileChildByName,1782714482261000000,1782714512365000000,13
VFS.fileByIdCache.misses,1782714482261000000,1782714512365000000,0
VFS.invertedFileNameIndex.requests,1782714482261000000,1782714512365000000,0
VFS.fileByIdCache.hits,1782714482261000000,1782714512365000000,0
workspaceModel.updates.precise.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1782714482261000000,1782714512365000000,0
workspaceModel.collect.changes.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValue.from.cache.ms,1782714482261000000,1782714512365000000,0
workspaceModel.init.bridges.ms,1782714482261000000,1782714512365000000,0
workspaceModel.full.replace.project.model.ms,1782714482261000000,1782714512365000000,0
workspaceModel.replace.project.model.ms,1782714482261000000,1782714512365000000,0
workspaceModel.check.recursive.update.ms,1782714482261000000,1782714512365000000,0
workspaceModel.updates.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValue.clear.ms,1782714482261000000,1782714512365000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1782714482261000000,1782714512365000000,3
workspaceModel.cachedValueWithParameters.total.get.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1782714482261000000,1782714512365000000,0
workspaceModel.update.unloaded.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValue.calculated.ms,1782714482261000000,1782714512365000000,1
workspaceModel.to.snapshot.ms,1782714482261000000,1782714512365000000,0
workspaceModel.updates.count,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValue.total.get.ms,1782714482261000000,1782714512365000000,1
workspaceModel.pre.handlers.ms,1782714482261000000,1782714512365000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1782714482261000000,1782714512365000000,0
workspaceModel.loading.from.cache.ms,1782714482261000000,1782714512365000000,282
workspaceModel.initializing.ms,1782714482261000000,1782714512365000000,0
workspaceModel.loading.total.ms,1782714482261000000,1782714512365000000,339
jps.save.global.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1782714482261000000,1782714512365000000,0
workspaceModel.global.updates.ms,1782714482261000000,1782714512365000000,0
jps.global.get.library.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1782714482261000000,1782714512365000000,0
jps.global.handle.before.change.events.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1782714482261000000,1782714512365000000,0
jps.global.initialize.library.bridges.after.loading.ms,1782714482261000000,1782714512365000000,1
jps.load.initial.state.ms,1782714482261000000,1782714512365000000,35
workspaceModel.moduleManagerBridge.newModule.ms,1782714482261000000,1782714512365000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1782714482261000000,1782714512365000000,0
jps.global.handle.changed.events.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1782714482261000000,1782714512365000000,0
jps.global.get.libraries.ms,1782714482261000000,1782714512365000000,0
jps.library.entities.serializer.save.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.instances.count,1782714482261000000,1782714512365000000,3
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.load.cache.metadata.from.file.ms,1782714482261000000,1782714512365000000,0
jps.library.entities.serializer.load.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.global.updates.count,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.entities.ms,1782714482261000000,1782714512365000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1782714482261000000,1782714512365000000,0
workspaceModel.sync.entities.ms,1782714482261000000,1782714512365000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1782714482261000000,1782714512365000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1782714482261000000,1782714512365000000,0
jps.global.initialize.library.bridges.ms,1782714482261000000,1782714512365000000,0
workspaceModel.global.apply.state.to.project.ms,1782714482261000000,1782714512365000000,0
jps.global.get.library.by.name.ms,1782714482261000000,1782714512365000000,0
workspaceModel.load.cache.from.file.ms,1782714482261000000,1782714512365000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1782714482261000000,1782714512365000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1782714482261000000,1782714512365000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1782714482261000000,1782714512365000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1782714482261000000,1782714512365000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1782714482261000000,1782714512365000000,0
workspaceModel.save.cache.to.file.ms,1782714482261000000,1782714512365000000,0
workspaceModel.do.save.caches.ms,1782714482261000000,1782714512365000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1782714482261000000,1782714512365000000,0
jps.app.storage.content.reader.load.component.ms,1782714482261000000,1782714512365000000,3
DirectByteBufferAllocator.reclaimed,1782714482261000000,1782714512365000000,43
FilePageCacheLockFree.totalClosedStoragesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalBytesRequested,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1782714482261000000,1782714512365000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1782714482261000000,1782714512365000000,5360994
FilePageCache.pageLoadsAboveSizeThreshold,1782714482261000000,1782714512365000000,0
FilePageCache.totalPageLoadsUs,1782714482261000000,1782714512365000000,597819
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782714482261000000,1782714512365000000,41943040
StorageLockContext.competingThreads.avg,1782714482261000000,1782714512365000000,2.290909090909091
FilePageCache.totalPageDisposalsUs,1782714482261000000,1782714512365000000,1357
FilePageCacheLockFree.housekeeperTurnsDone,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.heapBytesInUse,1782714482261000000,1782714512365000000,0
FilePageCache.maxRegisteredFiles,1782714482261000000,1782714512365000000,537
FilePageCache.uncachedFileAccess,1782714482261000000,1782714512365000000,331
FilePageCacheLockFree.totalPagesWriteMs,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.nativeBytesInUse,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesHandedOver,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.hits,1782714482261000000,1782714512365000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.misses,1782714482261000000,1782714512365000000,193
FilePageCacheLockFree.totalHeapBytesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesAllocated,1782714482261000000,1782714512365000000,0
FilePageCache.disposedBuffers,1782714482261000000,1782714512365000000,196
MappedFileStorage.storages,1782714482261000000,1782714512365000000,0
FilePageCache.pageHits,1782714482261000000,1782714512365000000,0
FilePageCache.maxCacheSizeInBytes,1782714482261000000,1782714512365000000,202375168
FilePageCacheLockFree.totalBytesWritten,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCache.pageLoads,1782714482261000000,1782714512365000000,196
FileChannelInterruptsRetryer.totalRetriedAttempts,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.disposed,1782714482261000000,1782714512365000000,153
StorageLockContext.competingThreads.90P,1782714482261000000,1782714512365000000,17
StorageLockContext.competingThreads.max,1782714482261000000,1782714512365000000,23
FilePageCacheLockFree.totalBytesRead,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1782714482261000000,1782714512365000000,0
MappedFileStorage.totalBytesMapped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesWritten,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782714482261000000,1782714512365000000,41943040
FilePageCache.capacityInBytes,1782714482261000000,1782714512365000000,503316478
FilePageCacheLockFree.housekeeperTimeSpentMs,1782714482261000000,1782714512365000000,0
FilePageCache.pageFastCacheHits,1782714482261000000,1782714512365000000,13605
MappedFileStorage.totalPagesMapped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesRequested,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesReadMs,1782714482261000000,1782714512365000000,0
FlushQueue.executionTime90PNs,1782714482261000000,1782714512365000000,237567
FlushQueue.waitingTime90PNs,1782714482261000000,1782714512365000000,14092861439
NonBlockingReadAction.failedExecutionTimeUs,1782714482261000000,1782714512365000000,0
AWTEventQueue.dispatchTimeMaxNs,1782714482261000000,1782714512365000000,25501368319
FlushQueue.waitingTimeAvgNs,1782714482261000000,1782714512365000000,4.917961750151425E9
NonBlockingReadAction.finalizedExecutionTimeUs,1782714482261000000,1782714512365000000,357090
ReadAction.executionsCount,1782714482261000000,1782714512365000000,50083
FlushQueue.executionTimeMaxNs,1782714482261000000,1782714512365000000,84934655
AWTEventQueue.eventsDispatched,1782714482261000000,1782714512365000000,1693
WriteAction.executionsCount,1782714482261000000,1782714512365000000,1
FlushQueue.queueSizeAvg,1782714482261000000,1782714512365000000,191.75319567354967
FlushQueue.waitingTimeMaxNs,1782714482261000000,1782714512365000000,21474836479
FlushQueue.queueSize90P,1782714482261000000,1782714512365000000,469
AWTEventQueue.dispatchTimeTotalNS,1782714482261000000,1782714512365000000,25948131100
AWTEventQueue.dispatchTimeAvgNs,1782714482261000000,1782714512365000000,1.528843702776137E7
AWTEventQueue.dispatchTime90PNs,1782714482261000000,1782714512365000000,81407
FlushQueue.queueSizeMax,1782714482261000000,1782714512365000000,535
FlushQueue.tasksExecuted,1782714482261000000,1782714512365000000,1017
FlushQueue.executionTimeAvgNs,1782714482261000000,1782714512365000000,279954.0294985251
NonBlockingReadAction.failedExecutionsCount,1782714482261000000,1782714512365000000,0
NonBlockingReadAction.finalizedExecutionsCount,1782714482261000000,1782714512365000000,15
